"#","Symbol","Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating"
"6","TGH","Textainer Group Holdings","34.71","-1.5","-0.54","734","24.2","99","96","B+","B","B+","99"
"14","FUTU","Futu Holdings Cl A Ads","168.11","-0.9","-1.54","3829","-37.6","74","99","A-","A","B+","99"
"12","CRWD","Crowdstrike Holdings A","253.7","0.3","0.8","3202","-15.5","69","89","D+","B","A-","91"
"2","NVDA","Nvidia Corp","768.22","0.8","5.93","7952","-17.4","97","88","B","A","A-","99"
"9","TIGR","Up Fintech Hldg Cl A Ads","26.86","0.9","0.24","7655","-18.1","69","99","A-","A","A-","98"
"4","PLTR","Palantir TechnologiesClA","26.53","1","0.26","48166","-17","57","92","D+","D","B-","51"
"10","CROX","Crocs Inc","113.12","1.7","1.87","754","-57.6","99","96","B+","A","C-","99"
"3","RBLX","Roblox Corporation Cl A","87.33","2.9","2.47","8580","-27","7","67","D","D","B-","40"
"8","FRHC","Freedom Holding Corp","63.26","3","1.86","1110","85.3","69","94","A-","A","A+","99"
"1","UPST","Upstart Holdings Inc","123.42","-1.4","-1.72","8808","102.3","39","98","A+","B","C+","88"
"5","QFIN","360 Digitech Inc Cl AAds","42.92","-0.9","-0.41","1764","-40","99","98","A-","A","A+","99"
"19","SBOW","Silverbow Resources Inc","25.01","-0.9","-0.22","107","-31.8","67","99","A+","E","A+","97"
"16","PGNY","Progyny Inc","59.37","-0.6","-0.37","1331","15.1","69","90","B-","B","C-","93"
"13","BBW","Build-A-Bear Workshop","18.34","-0.4","-0.07","219","-60.4","63","99","A+","D","A+","97"
"18","ELAN","Elanco Animal Health Inc","34.99","-0.3","-0.1","4551","27.3","57","73","C-","B","C","74"
"15","GM","General Motors Company","60.04","-0.1","-0.08","14024","-10.4","75","88","E","C","C-","68"
"22","DOCU","Docusign Inc","276.72","0.7","1.92","2227","-29.3","99","78","D+","A","A-","99"
"17","CVLT","Commvault Systems Inc","81.04","0.8","0.63","158","-59.7","92","89","C","A","B","97"
"11","ASO","Academy Sports & Outdoor","42.33","1.5","0.63","1762","-30.7","99","97","A+","A","A-","98"
"20","CUTR","Cutera Inc","47.33","1.9","0.89","187","-18","70","97","A","D","A+","96"
"7","RVLV","Revolve Group Inc Cl A","69.49","2.7","1.8","970","-23.8","98","98","A+","B","B+","99"
"21","KRNT","Kornit Digital Ltd","122.75","3.3","3.95","296","19.8","74","90","C","B","A-","96"
